geo,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,,,7.9,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,14.6,15.5,13.6,22.1,25.3,24.5,25.1,22.3,,15.1
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.82,,7.24,7.06,7.22,,,4.7,4.95,3.37,2.09,,1.98,1.61,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,,,,,,,9.48,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,,,,,0.45,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,0.73,0.56,0.74,0.71,1.04,0.98,0.96,1.02,0.77,0.9,0.69,0.62,0.78,1.1,0.81,0.56,0.56,0.59,0.38,0.4,0.67,0.47,0.45,0.37,0.5,,,0.3
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,10.9,9.38,9.56,,6.52,5.41,4.44,3.56,
Australia,,,,,,,,,,,,,,,,,,,,,0.59,0.7,0.71,0.87,0.73,0.67,0.7,0.61,0.58,0.62,0.61,0.44,0.36,0.32,0.3,0.24,0.24,0.21,0.17,0.19,0.23,0.18,0.16,0.2,0.22,0.19,0.18,0.15
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,2.17,1.65,1.57,1.62,1.63,1.53,1.56,1.28,0.52,0.98,0.99,1.94,2.02,1.86,1.93,1.87,1.81,1.73,1.98,1.5,1.39,1.28
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,18.6,16.8,,,,27.5,27.5,27.1,26.6,26.3,26.4,26.1,26,26.2
Bahamas,,,,,,,,,,,,,,,,,,,,,,0.28,0.18,0.32,,0.22,0.32,,0.09,0.08,,0.04,0.08,0.22,0.03,,,,0.07,0.24,,0.23,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,0.03,0.55,0.54,0.08,0.53,0.53,0.5,0.49,0.48,0.49,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,,,,10.1,,,9.9,,9.67,9.67,,,,7.02,2.79,,5.11,,,4.63,4.16
Barbados,,,,,,,,,,,,,,,,,,,,,1.04,0.71,0.19,0.78,,,0.16,,,,0.15,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,0.01,
