geo,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,,,,30.4,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.7,69.4,71.1,72.5,68.4,65.1,68.2,66.8,62.7,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.9,,,,,,,70.9,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,67.4,66.5,64.8,68.5,70,69.3,70.4,70.7,70.9,70.3,69.6,67.9,71.1,72.5,72.6,73.5,,74.5,74.3,76.7,76.2,76.7,74.1,73.9,,,71.9
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.3,,91.6,,,86.4,,81.1,83.1,82.4,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.5,,,,88.3,88.6,,,,89.5,89.5,89.8,90.9,91,91.2,90.7,91.3,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,91.8,91.4,91.4,91,91,91,90.6,90.3,90.5,89.6,89.6,89.5,89.3,89.1,89,88.7,89.1,89.2,88.8,88.8,89,89.1,89.1
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.4,,,77.9,63.6,77.1,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.6,,,,76.2,,,70.9,,,66.1,62.8
Belgium,,,,,,,,,,,87.6,87.1,86.7,85.2,85.9,85.7,85.5,83.9,84.4,83,83.2,84.1,83.8,83.3,83.5,83.6,83.2,83.9,83.2,84.1,84.3,84.6,85.1,84.9,85.3,84.6,84.5,84.5,84.7,83.9,84.2,83.9,83.8,82.7,83.4,82.5,82.9,83.9
